Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma_s,Exit_sma_s,Entry_sma_l,Exit_sma_l,Entry_macd_h,Exit_macd_h,Entry_rsi,Exit_rsi,Entry_bbl,Exit_bbl,Entry_bbu,Exit_bbu,Entry_obv,Exit_obv,Entry_atr,Exit_atr,Entry_vol_slope,Exit_vol_slope,Entry_mom_div,Exit_mom_div,entry_date,signal_type,buy_score,total_score,ai_prob,ai_threshold,expected_value_pct,market_state,market_uptrend,atr_pct,volume_ratio,mom_20,ai_model_type,ai_tier,ensemble_disagreement,is_win,atr_pct_est,ma_spread_pct,price_vs_sma_l_pct,bb_pos,vol_slope_pos
21740,2,6,2.6619856,2.62589088,,,-899.6576474751981,114.95843467520001,-0.015545762711864416,2023-08-24,2023-08-30,6 days,,2.6735874742857137,2.68905664,2.6261043043636363,2.6332667732727275,-0.00273825830127037,-0.0027548535422720587,47.242974041576026,40.29690068121698,2.627338611414878,2.6240774680262864,2.748969932585122,2.7414026599737134,297525266.0,398233577.0,0.04595188582739986,0.0597868139852894,0.045454590820331785,-0.002388692910513927,0.0,-0.02639665279557324,2023-08-24,布林带极度下杀反弹 (左侧),0.3295,0.396,0.8322,0.45,2.239,sideways_low_vol,False,1.726,1.02,-0.0067,lgbm,high,,False,1.7262259355347327,1.8081220095933583,1.3663317019336176,0.28485252196371136,True
25989,38,39,2.38225152,2.41834624,,,813.3029428953578,124.76273518464001,0.013136363636363623,2023-10-23,2023-10-24,1 days,,2.4699101257142857,2.455730057142857,2.6070231854545454,2.601773044363636,-0.0076795386950927955,-0.007642549636168894,15.386986553854818,29.132539031403404,2.4318225373538906,2.417282232878492,2.6241453666461094,2.6224430471215077,4136117.0,43104997.0,0.03809289902781649,0.03792638410883177,0.05041727522974246,-0.020111069459957855,0.027333436869079075,0.03519323449462253,2023-10-23,布林带极度下杀反弹 (左侧),0.3835,0.408,0.94,0.65,2.662,bear_momentum,False,1.599,0.93,-0.0769,lgbm,high,,True,1.5990292673972766,-5.25937247145554,-8.62177470106985,-0.2577490022184079,True
32831,83,84,2.36420416,2.38225152,,,436.6819897299258,155.83088643008,0.005625954198473406,2023-12-25,2023-12-26,1 days,,2.3912752,2.384829714285714,2.4588707665454548,2.456081629090909,-0.0034252754092907334,-0.0029774695446662808,24.594019481070802,35.888184041215524,2.370875449068462,2.3668565094913467,2.473035974931538,2.4698359705086532,44791899.0,93431371.0,0.030401600919023213,0.032379974175771285,0.028391837585496318,0.09418560577581217,0.022053872053872103,0.02941176470588225,2023-12-25,布林带极度下杀反弹 (左侧),0.3561,0.536,0.6644,0.45,0.862,sideways_low_vol,False,1.286,0.93,-0.0368,lgbm,high,,True,1.2859126734225532,-2.749049175952504,-3.8500033362247414,-0.06530202357614454,True
22096,102,103,2.29201472,2.31006208,,,297.08697758719416,101.6874889728,0.005866141732283451,2024-01-22,2024-01-23,1 days,,2.399009782857143,2.378384228571428,2.437049867636363,2.433604462545454,-0.0057686490619468945,-0.007492246683393994,20.226791872765446,26.84014884113546,2.3406793150923786,2.329458230768199,2.501427372907621,2.507234249231801,146852711.0,184241550.0,0.04536877980782542,0.04685186149050664,0.052970962094824305,-0.012842397435137695,0.01064929982949947,0.025047523202504807,2024-01-22,布林带极度下杀反弹 (左侧),0.4953,0.536,0.9241,0.65,3.233,bear_momentum,False,1.979,1.69,-0.0305,lgbm,high,,True,1.9794279422352672,-1.5609071149666025,-5.951258920156168,-0.3027383083428092,True
26985,143,144,2.46346464,2.47248832,,,110.3073141743964,133.1966906256,0.001659340659340646,2024-03-27,2024-03-28,1 days,,2.49053568,2.485379291428571,2.479543197090909,2.479707264,-0.006104912315486794,-0.00611584553520849,37.2156058671548,40.717237279477494,2.467839398247993,2.463119167583202,2.557447993752007,2.5558516484167977,218092539.0,268455250.0,0.03725954812051116,0.03641050577713523,-0.0008215329441093002,-0.001278105628601328,0.010790798176500083,0.010752125572269455,2024-03-27,布林带极度下杀反弹 (左侧),0.328,0.396,0.8283,0.4,1.916,weak_bull,False,1.512,1.06,-0.0285,lgbm,high,,True,1.5124856072832105,0.443326937074039,-0.6484483557202281,-0.04882074340509821,False
12014,200,201,2.49693594,2.50628776,,,52.24403594820012,60.10872953180001,0.0017415730337078743,2024-06-24,2024-06-25,1 days,,2.5463669885714286,2.5356791942857138,2.6094666305454544,2.6089326974545455,-0.00910789824341441,-0.009102070159154721,33.40951938361706,35.75364193787583,2.504017166586085,2.4949725140813364,2.6998425174139142,2.690610281918663,372483342.0,413200996.0,0.05026921745610346,0.04919738933476147,0.10560924857993523,0.06649530448181389,0.038154749532321786,0.028356412596384106,2024-06-24,布林带极度下杀反弹 (左侧),0.2047,0.686,0.4974,0.45,0.285,sideways_low_vol,False,2.013,1.33,-0.0714,lgbm,medium,,True,2.0132361688103004,-2.4181049581322323,-4.312401976258727,-0.036160928889695985,True
19409,259,260,2.6185096,2.58110232,,,-826.9571652752808,100.91926775528,-0.01627142857142863,2024-09-13,2024-09-18,5 days,,2.6318693428571427,2.6171736257142855,2.6684993287272727,2.668669361818182,-0.004584287080127143,-0.005186754550458056,43.935735858399404,37.51177431470226,2.576488989037302,2.574302365791862,2.7138355849626983,2.701059296208138,776986445.0,728964154.0,0.05188677512241178,0.054576742195544134,-0.03743767106658915,-0.07978748057191343,0.0,0.04196388976876786,2024-09-13,布林带极度下杀反弹 (左侧),0.6809,0.804,0.8469,0.65,2.701,bear_momentum,False,1.982,0.76,-0.0411,lgbm,high,,False,1.9815384722061655,-1.3726810974166699,-1.873327386262269,0.30594577666506173,False
16610,264,268,2.72137962,3.05804514,,,5496.018041936399,95.9962452636,0.12158762886597939,2024-09-24,2024-09-30,6 days,,2.6385492142857143,2.7841704114285712,2.674450486909091,2.6940042923636365,0.00252341568362794,0.022795822283907034,60.59693402417893,82.41264322107965,2.5685205464277425,2.4881529310114523,2.7087114795722576,2.8900787509885486,880542285.0,1395106471.0,0.06013384673635041,0.07549430058289477,0.08099790026582834,0.22159631428722126,0.003545235252552237,-0.07103290974258725,2024-09-24,均线放量金叉 (右侧),0.8439,0.85,0.9929,0.65,4.164,bear_momentum,True,2.21,2.31,0.0356,lgbm,high,,True,2.2096824086729363,-1.3423794083721643,1.7547205798207084,1.0903634788897765,True
9441,336,337,2.84295328,2.86165692,,,122.72384034180021,53.85722489820001,0.004572368421052596,2025-01-10,2025-01-13,3 days,,2.91776784,2.903072122857143,3.1153462916363637,3.1122856960000003,-0.01786938570069161,-0.01747690403422903,24.35446382174811,28.489170545098904,2.8642549085005893,2.840478979837203,3.2321965494994105,3.2288522001627977,2035550955.0,2096902375.0,0.06696586984083558,0.06450265402076595,-0.06591328073283535,-0.04634601223085308,0.049723863220890285,0.06733639494833543,2025-01-10,布林带极度下杀反弹 (左侧),0.193,0.612,0.5255,0.45,0.599,sideways_low_vol,False,2.356,1.08,-0.0925,lgbm,medium,,True,2.3555037049654075,-6.342102390568724,-8.743586944656693,-0.057894041138598355,False
12139,357,358,2.88036056,2.88036056,,,-69.92939367568002,69.92939367568002,-0.002,2025-02-18,2025-02-19,1 days,,2.9204397885714286,2.9110879685714286,3.009585709090909,3.0066951465454546,0.004133225927750422,0.0031302058470383913,37.664144430811604,37.664144430811604,2.880103607365559,2.877087267240553,2.949820980634441,2.9509669567594474,2433824739.0,2433824739.0,0.052141836264022,0.05013463824202017,0.03641262725510795,-0.03050613888052408,0.006247781327653579,-0.0031946893475780502,2025-02-18,布林带极度下杀反弹 (左侧),0.0697,0.231,0.503,0.45,0.271,sideways_low_vol,True,1.81,1.11,-0.0065,lgbm,medium,,False,1.8102537921162898,-2.962066182405163,-4.293785310734457,0.0036856327539817654,True
13410,366,382,2.82424964,2.97387876,,,1928.7735973559963,77.75290184400001,0.05092715231788062,2025-03-03,2025-03-25,22 days,,2.8482971771428574,2.923111737142857,2.9748989585454546,2.9053554243636355,-0.0017753564910663426,0.00843863233315307,32.93793519303153,71.09216544352145,2.82042444608892,2.816191915211328,2.96274104191108,2.950140296788672,2359475501.0,2964020022.0,0.04716741418595169,0.039870945072860695,-0.03651111508648062,0.17205667563323981,0.01897938662644527,-0.006661080854629242,2025-03-03,布林带极度下杀反弹 (左侧),0.1427,0.49,0.4855,0.45,0.133,sideways_low_vol,False,1.67,0.89,-0.0413,lgbm,medium,,True,1.670086578676228,-4.2556666013456095,-5.064014631915865,0.026878059364629905,False
17510,390,391,2.7587869,2.83360146,,,1212.0802254164016,97.9227201836,0.02509152542372883,2025-04-07,2025-04-08,1 days,,2.9150958914285714,2.901736148571428,2.897533902181818,2.897363869090909,-0.0012388376040558496,-0.0035676820224815695,30.207024399397707,41.76445843071956,2.8286044976856393,2.8226057584436135,2.993838634314361,2.996096645556386,2660840286.0,2799326814.0,0.061307506499588035,0.06555036762462238,0.2570625077044945,0.2276775209426798,-0.015008750864910936,0.0,2025-04-07,布林带极度下杀反弹 (左侧),0.3528,0.392,0.9,0.45,3.467,sideways_low_vol,False,2.222,1.81,-0.0391,lgbm,high,,True,2.222263216473445,0.6061012516032871,-4.788451381961139,-0.4225373709702508,True
17480,423,424,2.93647148,2.97387876,,,550.5663322048007,103.3129221952,0.010726114649681526,2025-05-27,2025-05-28,1 days,,2.9551751199999994,2.95517512,2.9186180054545456,2.9204883694545454,-0.0015280277125989472,-0.0007703643749690393,47.21942679719292,58.45551955164114,2.9226441012787707,2.9222863137113935,2.980224682721229,2.9824528342886056,3199140279.0,3285618322.0,0.03726402451457215,0.038055280805024475,-0.055852943071866695,0.03455616251795406,-0.0031545107494475033,0.015974440894568787,2025-05-27,布林带极度下杀反弹 (左侧),0.2537,0.826,0.5119,0.45,0.17,sideways_low_vol,False,1.269,0.95,-0.0063,lgbm,medium,,True,1.2690068597081061,1.2525487911447437,0.6117098747451077,0.24013961607954765,False
