date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-01-05,sh.511380,13.6800,13.8870,13.6800,13.8650,13.6630,541007763,7475389086.0000,3,14.258484,1,1.478400,,,,,1
2026-01-06,sh.511380,13.8680,14.0770,13.8660,14.0640,13.8650,829892067,11629415697.0000,3,21.872150,1,1.435300,,,,,1
2026-01-07,sh.511380,14.0520,14.1650,14.0100,14.1010,14.0640,896899285,12646483613.0000,3,23.279235,1,0.263100,,,,,1
2026-01-08,sh.511380,14.0990,14.2440,14.0900,14.1350,14.1010,829468578,11745390157.0000,3,21.477769,1,0.241100,,,,,1
2026-01-09,sh.511380,14.1350,14.3040,14.1350,14.2740,14.1350,1010698618,14386965659.0000,3,26.103517,1,0.983400,,,,,1
2026-01-12,sh.511380,14.3150,14.4870,14.2850,14.4480,14.2740,924762614,13302709542.0000,3,23.760072,1,1.219000,,,,,1
2026-01-13,sh.511380,14.5010,14.5410,14.2500,14.3060,14.4480,1092251199,15668720683.0000,3,28.010128,1,-0.982800,,,,,1
2026-01-14,sh.511380,14.3310,14.5530,14.2710,14.3230,14.3060,1301467210,18736188429.0000,3,33.353963,1,0.118800,,,,,1
2026-01-15,sh.511380,14.3120,14.3700,14.2000,14.3680,14.3230,1160023540,16575592123.0000,3,29.609911,1,0.314200,,,,,1
2026-01-16,sh.511380,14.4420,14.5050,14.3610,14.4040,14.3680,1056952844,15264428699.0000,3,26.903465,1,0.250600,,,,,1
2026-01-19,sh.511380,14.4100,14.5080,14.3770,14.5050,14.4040,817357678,11816181713.0000,3,20.749402,1,0.701200,,,,,1
2026-01-20,sh.511380,14.5080,14.5780,14.3800,14.4020,14.5050,968680467,13986854072.0000,3,24.500069,1,-0.710100,,,,,1
2026-01-21,sh.511380,14.3910,14.5320,14.3360,14.4810,14.4020,900878344,13034486126.0000,3,22.080424,1,0.548500,,,,,1
2026-01-22,sh.511380,14.5160,14.6520,14.5150,14.6400,14.4810,762326838,11123820299.0000,3,18.666242,1,1.098000,,,,,1
2026-01-23,sh.511380,14.6500,14.8780,14.6500,14.8270,14.6400,778428810,11528487000.0000,3,19.050251,1,1.277300,,,,,1
2026-01-26,sh.511380,14.8570,14.9160,14.6290,14.6670,14.8270,1049492177,15471755119.0000,3,25.543251,1,-1.079100,,,,,1
2026-01-27,sh.511380,14.6890,14.7330,14.5340,14.7100,14.6670,1146515181,16773643095.0000,3,27.466134,1,0.293200,,,,,1
2026-01-28,sh.511380,14.7110,14.8640,14.6740,14.8560,14.7100,1089547151,16074588974.0000,3,25.644328,1,0.992500,,,,,1
2026-01-29,sh.511380,14.8550,14.8940,14.7010,14.7150,14.8560,1092839064,16181948146.0000,3,25.350679,1,-0.949100,,,,,1
2026-01-30,sh.511380,14.7000,14.7050,14.4350,14.4690,14.7150,1587736818,23069711587.0000,3,35.832579,1,-1.671800,,,,,1
2026-02-02,sh.511380,14.4150,14.4300,14.0790,14.1170,14.4690,1456485805,20739147516.0000,3,32.730116,1,-2.432800,,,,,1
2026-02-03,sh.511380,14.1990,14.4650,14.1990,14.4630,14.1170,1101671675,15781309074.0000,3,24.351789,1,2.450900,,,,,1
2026-02-04,sh.511380,14.4690,14.5040,14.3200,14.4450,14.4630,1030219540,14834672240.0000,3,22.751763,1,-0.124500,,,,,1
2026-02-05,sh.511380,14.4230,14.4230,14.2070,14.3540,14.4450,1075523671,15390482191.0000,3,23.949560,1,-0.630000,,,,,1
2026-02-06,sh.511380,14.2880,14.5090,14.2570,14.4260,14.3540,1083077889,15620020735.0000,3,23.947136,1,0.501600,,,,,1
2026-02-09,sh.511380,14.5500,14.6410,14.5020,14.6350,14.4260,780002734,11365714153.0000,3,17.300766,1,1.448800,,,,,1
2026-02-10,sh.511380,14.6560,14.6610,14.5310,14.5870,14.6350,664773182,9712931173.0000,3,14.796455,1,-0.328000,,,,,1
2026-02-11,sh.511380,14.5990,14.6570,14.5770,14.6040,14.5870,587873351,8596915772.0000,3,13.074350,1,0.116500,,,,,1
2026-02-12,sh.511380,14.6040,14.7140,14.5750,14.6980,14.6040,557712954,8171222493.0000,3,12.403581,1,0.643700,,,,,1
2026-02-13,sh.511380,14.6780,14.7590,14.5960,14.6190,14.6980,717392857,10522007229.0000,3,15.951682,1,-0.537500,,,,,1
2026-02-24,sh.511380,14.6540,14.7680,14.6380,14.7380,14.6190,652818535,9598788248.0000,3,14.329436,1,0.814000,,,,,1
