code,tradeStatus,code_name
sh.600026,1,中远海能
sh.600089,1,特变电工
sh.600096,1,云天化
sh.600101,1,明星电力
sh.600114,1,东睦股份
sh.600141,1,兴发集团
sh.600176,1,中国巨石
sh.600186,1,莲花控股
sh.600216,1,浙江医药
sh.600268,1,国电南自
sh.600338,1,西藏珠峰
sh.600352,1,浙江龙盛
sh.600367,1,红星发展
sh.600382,1,广东明珠
sh.600389,1,江山股份
sh.600452,1,涪陵电力
sh.600459,1,贵研铂业
sh.600483,1,福能股份
sh.600487,1,亨通光电
sh.600497,1,驰宏锌锗
sh.600522,1,中天科技
sh.600531,1,豫光金铅
sh.600549,1,厦门钨业
sh.600563,1,法拉电子
sh.600618,1,氯碱化工
sh.600633,1,浙数文化
sh.600667,1,太极实业
sh.600711,1,盛屯矿业
sh.600814,1,杭州解百
sh.600821,1,金开新能
sh.600866,1,星湖科技
sh.600875,1,东方电气
sh.600916,1,中国黄金
sh.600961,1,株冶集团
sh.600979,1,广安爱众
sh.601020,1,华钰矿业
sh.601061,1,中信金属
sh.601126,1,四方股份
sh.601599,1,浙文影业
sh.601619,1,嘉泽新能
sh.601778,1,晶科科技
sh.601866,1,中远海发
sh.601872,1,招商轮船
sh.601890,1,亚星锚链
sh.601975,1,招商南油
sh.603055,1,台华新材
sh.603058,1,永吉股份
sh.603115,1,海星股份
sh.603150,1,万朗磁塑
sh.603158,1,腾龙股份
sh.603236,1,移远通信
sh.603283,1,赛腾股份
sh.603300,1,海南华铁
sh.603328,1,依顿电子
sh.603341,1,龙旗科技
sh.603588,1,高能环境
sh.603596,1,伯特利
sh.603612,1,索通发展
sh.603619,1,中曼石油
sh.603757,1,大元泵业
sh.603799,1,华友钴业
sh.603861,1,白云电器
sh.603867,1,新化股份
sh.603876,1,鼎胜新材
sh.603890,1,春秋电子
sh.603916,1,苏博特
sh.603929,1,亚翔集成
sh.603950,1,长源东谷
sh.605007,1,五洲特纸
sh.605077,1,华康股份
sh.605111,1,新洁能
sh.605277,1,新亚电子
sh.605589,1,圣泉集团
sz.000039,1,中集集团
sz.000060,1,中金岭南
sz.000338,1,潍柴动力
sz.000400,1,许继电气
sz.000417,1,合百集团
sz.000422,1,湖北宜化
sz.000523,1,红棉股份
sz.000551,1,创元科技
sz.000581,1,威孚高科
sz.000600,1,建投能源
sz.000612,1,焦作万方
sz.000661,1,长春高新
sz.000672,1,上峰水泥
sz.000700,1,模塑科技
sz.000733,1,振华科技
sz.000737,1,北方铜业
sz.000758,1,中色股份
sz.000767,1,晋控电力
sz.000777,1,中核科技
sz.000792,1,盐湖股份
sz.000811,1,冰轮环境
sz.000823,1,超声电子
sz.000833,1,粤桂股份
sz.000878,1,云南铜业
sz.000899,1,赣能股份
sz.000922,1,佳电股份
sz.000960,1,锡业股份
sz.000968,1,蓝焰控股
sz.000993,1,闽东电力
sz.001283,1,豪鹏科技
sz.001316,1,润贝航科
sz.001337,1,四川黄金
sz.001696,1,宗申动力
sz.002015,1,协鑫能科
sz.002019,1,亿帆医药
sz.002057,1,中钢天源
sz.002083,1,孚日股份
sz.002085,1,万丰奥威
sz.002106,1,莱宝高科
sz.002125,1,湘潭电化
sz.002126,1,银轮股份
sz.002130,1,沃尔核材
sz.002138,1,顺络电子
sz.002150,1,正泰电源
sz.002155,1,湖南黄金
sz.002167,1,东方锆业
sz.002170,1,芭田股份
