date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-06-05,sz.002185,9.4956602200,9.6043514400,9.4166120600,9.4166120600,9.5154222600,20776722,199747943.8100,2,0.648500,1,-1.038400,69.291071,1.953133,2.742013,-80.836723,0
2023-06-06,sz.002185,9.3968500200,9.4166120600,9.1300624800,9.1399435000,9.4166120600,22084878,207206853.4300,2,0.689300,1,-2.938100,67.255237,1.895749,2.661450,-78.461667,0
2023-06-07,sz.002185,9.1893486000,9.5549463400,9.1695865600,9.3079208400,9.1399435000,24675290,233842632.8400,2,0.770200,1,1.837800,68.491279,1.930589,2.710363,-79.903665,0
2023-06-08,sz.002185,9.2585157400,9.2980398200,8.9917282000,9.0806573800,9.3079208400,21771607,200685356.9300,2,0.679600,1,-2.441600,66.818987,1.883452,2.644187,-77.952727,0
2023-06-09,sz.002185,9.0806573800,9.1893486000,8.9719661600,9.1794675800,9.0806573800,29510796,271035745.8400,2,0.921100,1,1.088100,67.546070,1.903946,2.672959,-78.800961,0
2023-06-12,sz.002185,9.1498245200,9.3869690000,9.1399435000,9.2782777800,9.1794675800,24189629,227774402.1400,2,0.755000,1,1.076400,68.273154,1.924441,2.701732,-79.649195,0
2023-06-13,sz.002185,9.2881588000,9.6142324600,9.1695865600,9.5845894000,9.2782777800,42569670,407847177.2500,2,1.328700,1,3.301400,70.527113,1.987974,2.790926,-82.278721,0
2023-06-14,sz.002185,9.5549463400,9.6339945000,9.4067310400,9.5747083800,9.5845894000,32291738,311442072.2600,2,1.007900,1,-0.103100,70.454405,1.985925,2.788049,-82.193898,0
2023-06-15,sz.002185,9.6438755200,9.6537565400,9.4956602200,9.5055412400,9.5747083800,20217600,195457001.0000,2,0.631100,1,-0.722400,69.945446,1.971578,2.767908,-81.600134,0
2023-06-16,sz.002185,9.4956602200,9.5253032800,9.3573259400,9.5055412400,9.5055412400,27968554,267441086.5800,2,0.873000,1,0.000000,69.945446,1.971578,2.767908,-81.600134,0
2023-06-19,sz.002185,9.4956602200,9.7031616400,9.3869690000,9.6339945000,9.5055412400,35927244,348845862.0700,2,1.121400,1,1.351400,70.890655,1.998221,2.805312,-82.702838,0
2023-06-20,sz.002185,9.5845894000,9.6438755200,9.4462551200,9.4956602200,9.6339945000,24092759,231764440.4000,2,0.752000,1,-1.435900,69.872738,1.969529,2.765031,-81.515310,0
2023-06-21,sz.002185,9.4956672600,9.5055792300,9.2478680100,9.2478680100,9.4956672600,20670522,194682168.6800,2,0.645200,1,-2.609600,67.836904,1.912144,2.684468,-79.140255,0
2023-06-26,sz.002185,9.1983081600,9.1983081600,9.0000687600,9.0694525500,9.2478680100,23039316,211631262.8800,2,0.719100,1,-1.929300,66.528153,1.875254,2.632678,-77.613433,0
2023-06-27,sz.002185,9.0298046700,9.2478680100,9.0198927000,9.1388363400,9.0694525500,18966787,174593042.3400,2,0.592000,1,0.765000,67.037112,1.889600,2.652818,-78.207197,0
2023-06-28,sz.002185,9.1289243700,9.1784842200,8.8414772400,8.9703328500,9.1388363400,21108083,190761058.5000,2,0.658900,1,-1.843800,65.801069,1.854759,2.603905,-76.765199,0
2023-06-29,sz.002185,8.9505089100,9.1091004300,8.9306849700,9.0298046700,8.9703328500,15584174,142080057.9300,2,0.486400,1,0.663000,66.237320,1.867056,2.621169,-77.274139,0
2023-06-30,sz.002185,9.0198927000,9.1487483100,8.9802448200,9.1190124000,9.0298046700,14024290,128855771.5600,2,0.437700,1,0.987900,66.891695,1.885501,2.647064,-78.037550,0
2023-07-03,sz.002185,9.1388363400,9.2577799800,9.1289243700,9.1487483100,9.1190124000,16799116,155568801.4000,2,0.524400,1,0.326100,67.109820,1.891650,2.655696,-78.292020,0
2023-07-04,sz.002185,9.1586602800,9.4758433200,9.1487483100,9.3568996800,9.1487483100,30442180,286561231.4400,2,0.950200,1,2.275200,68.636696,1.934688,2.716118,-80.073312,0
2023-07-05,sz.002185,9.3568996800,9.4163715000,9.2776039200,9.2974278600,9.3568996800,16114255,151987562.5700,2,0.503000,1,-0.635600,68.200445,1.922391,2.698854,-79.564372,0
2023-07-06,sz.002185,9.2577799800,9.5254031700,9.2280440700,9.3965475600,9.2974278600,21186196,201256815.2100,2,0.661300,1,1.066100,68.927529,1.942886,2.727627,-80.412606,0
2023-07-07,sz.002185,9.3965475600,9.3965475600,9.1487483100,9.1983081600,9.3965475600,16449789,153274129.3500,2,0.513500,1,-2.109700,67.473362,1.901897,2.670082,-78.716137,0
2023-07-10,sz.002185,9.1883961900,9.2478680100,9.0397166400,9.0892764900,9.1983081600,13763055,126840218.1100,2,0.429600,1,-1.185300,66.673570,1.879353,2.638432,-77.783080,0
2023-07-11,sz.002185,9.1190124000,9.3469877100,9.0694525500,9.3370757400,9.0892764900,21298433,198675252.4000,2,0.664800,1,2.726300,68.491279,1.930589,2.710363,-79.903665,0
2023-07-12,sz.002185,9.3271637700,9.4163715000,9.2082201300,9.2280440700,9.3370757400,17675219,166161824.9100,2,0.551700,1,-1.167700,67.691487,1.908045,2.678714,-78.970608,0
2023-07-13,sz.002185,9.2478680100,9.5254031700,9.2280440700,9.5154912000,9.2280440700,35263987,336234987.4700,2,1.100700,1,3.114900,69.800029,1.967480,2.762154,-81.430487,0
2023-07-14,sz.002185,9.5650510500,10.1102094000,9.5551390800,9.6939066600,9.5154912000,71278916,706406765.2900,2,2.224900,1,1.875000,71.108780,2.004370,2.813944,-82.957309,0
2023-07-17,sz.002185,9.6146109000,9.7335545400,9.5452271100,9.7038186300,9.6939066600,30909301,300998440.1200,2,0.964800,1,0.102200,71.181488,2.006419,2.816821,-83.042132,0
2023-07-18,sz.002185,9.7533784800,10.1696812200,9.7533784800,9.9813537900,9.7038186300,82198530,831738891.1800,2,2.565700,1,2.860100,73.217323,2.063804,2.897384,-85.417188,0
2023-07-19,sz.002185,9.8723221200,10.0408256100,9.7831143900,9.8822340900,9.9813537900,37514997,373814971.8900,2,1.171000,1,-0.993000,72.490239,2.043309,2.868612,-84.568954,0
2023-07-20,sz.002185,9.8524981800,9.9317939400,9.6146109000,9.6443468100,9.8822340900,35181077,345142397.0300,2,1.098100,1,-2.407200,70.745238,1.994123,2.799558,-82.533192,0
2023-07-21,sz.002185,9.6443468100,9.9119700000,9.5947869600,9.6839946900,9.6443468100,29867325,293767483.5900,2,0.932300,1,0.411100,71.036072,2.002320,2.811067,-82.872485,0
2023-07-24,sz.002185,9.6146109000,9.7831143900,9.5749630200,9.5848749900,9.6839946900,22616504,220504365.1400,2,0.705900,1,-1.023500,70.308988,1.981826,2.782294,-82.024251,0
2023-07-25,sz.002185,9.6740827200,9.7236425700,9.5749630200,9.6839946900,9.5848749900,23125298,225237568.3200,2,0.721800,1,1.034100,71.036072,2.002320,2.811067,-82.872485,0
2023-07-26,sz.002185,9.6839946900,9.7434665100,9.5848749900,9.6046989300,9.6839946900,18106230,175940942.5000,2,0.565200,1,-0.818800,70.454405,1.985925,2.788049,-82.193898,0
2023-07-27,sz.002185,9.6046989300,9.6344348400,9.4361954400,9.4461074100,9.6046989300,22032153,211517581.0400,2,0.687700,1,-1.651200,69.291071,1.953133,2.742013,-80.836723,0
2023-07-28,sz.002185,9.4461074100,9.5055792300,9.3370757400,9.4560193800,9.4461074100,20510635,195115065.9600,2,0.640200,1,0.104900,69.363779,1.955183,2.744890,-80.921547,0
2023-07-31,sz.002185,9.4560193800,9.5452271100,9.4163715000,9.5055792300,9.4560193800,24139642,230966178.0300,2,0.753500,1,0.524100,69.727321,1.965430,2.759276,-81.345664,0
2023-08-01,sz.002185,9.5254031700,9.5452271100,9.4361954400,9.4758433200,9.5055792300,16079124,153893206.9600,2,0.501900,1,-0.312800,69.509196,1.959282,2.750645,-81.091193,0
2023-08-02,sz.002185,9.4857552900,9.5154912000,9.4361954400,9.4758433200,9.4758433200,13184693,126029599.1200,2,0.411500,1,0.000000,69.509196,1.959282,2.750645,-81.091193,0
2023-08-03,sz.002185,9.4560193800,9.5154912000,9.3965475600,9.4163715000,9.4758433200,16388444,156246996.6100,2,0.511500,1,-0.627600,69.072946,1.946985,2.733381,-80.582253,0
2023-08-04,sz.002185,9.4262834700,9.6344348400,9.4262834700,9.5650510500,9.4163715000,24575625,236758776.7400,2,0.767100,1,1.578900,70.163571,1.977727,2.776540,-81.854604,0
2023-08-07,sz.002185,9.5848749900,9.6046989300,9.5055792300,9.5947869600,9.5650510500,15536315,149862931.1300,2,0.484900,1,0.310900,70.381696,1.983875,2.785172,-82.109074,0
2023-08-08,sz.002185,9.5848749900,9.6046989300,9.2577799800,9.2676919500,9.5947869600,31326117,296679447.5200,2,0.977800,1,-3.409100,67.982320,1.916243,2.690223,-79.309901,0
2023-08-09,sz.002185,9.2676919500,9.2974278600,9.1685722500,9.2676919500,9.2676919500,14664727,136592314.3200,2,0.457700,1,0.000000,67.982320,1.916243,2.690223,-79.309901,0
2023-08-10,sz.002185,9.2676919500,9.3370757400,9.2379560400,9.2676919500,9.2676919500,9024037,84522830.4000,2,0.281700,1,0.000000,67.982320,1.916243,2.690223,-79.309901,0
2023-08-11,sz.002185,9.2577799800,9.3073398300,9.0793645200,9.0793645200,9.2676919500,14653541,135661107.0900,2,0.457400,1,-2.032100,66.600861,1.877303,2.635555,-77.698256,0
2023-08-14,sz.002185,9.0892764900,9.1586602800,8.9207730000,9.0198927000,9.0793645200,14515356,132093844.6500,2,0.453100,1,-0.655000,66.164611,1.865007,2.618292,-77.189316,0
2023-08-15,sz.002185,9.0298046700,9.0694525500,8.8811251200,8.9505089100,9.0198927000,13923514,126008604.5400,2,0.434600,1,-0.769200,65.655653,1.850660,2.598151,-76.595552,0
2023-08-16,sz.002185,8.9405969400,9.0099807300,8.9009490600,8.9207730000,8.9505089100,9804011,88521130.7800,2,0.306000,1,-0.332200,65.437528,1.844512,2.589519,-76.341082,0
2023-08-17,sz.002185,8.8910370900,8.9802448200,8.8117413300,8.9505089100,8.9207730000,10908020,98095454.8300,2,0.340500,1,0.333300,65.655653,1.850660,2.598151,-76.595552,0
2023-08-18,sz.002185,8.9604208800,9.0000687600,8.8018293600,8.8018293600,8.9505089100,10673900,95868750.0000,2,0.333200,1,-1.661100,64.565027,1.819919,2.554992,-75.323201,0
2023-08-21,sz.002185,8.7919173900,8.8910370900,8.6927976900,8.7027096600,8.8018293600,9740139,86462043.9200,2,0.304000,1,-1.126100,63.837944,1.799424,2.526220,-74.474966,0
2023-08-22,sz.002185,8.7522695100,8.8018293600,8.5738540500,8.7522695100,8.7027096600,13470020,118052823.0800,2,0.420400,1,0.569500,64.201485,1.809671,2.540606,-74.899083,0
