,0
feat_market_pct_1,1186929.636004448
feat_market_pct_5,1122950.9432144165
feat_market_pct_10,865245.3303947449
feat_market_pct_20,840153.9206647873
feat_market_bias_20,810568.62915802
feat_rsi_val,326484.63613033295
feat_market_corr_20,203243.2412223816
feat_vol_of_vol,182427.63052082062
feat_atr_ratio,169008.6378517151
feat_turnover,154969.38278961182
feat_macd_norm,136965.3825187683
feat_realized_vol_20,133164.37643647194
feat_mom_rank_252,125889.97947978973
feat_atr_mom_5,109649.79517841339
feat_pct_chg_20,108779.96326637268
feat_vol_rank_100,108616.01138544083
feat_pct_chg_1,99951.71121406555
feat_money_flow,98587.5604505539
feat_bb_width,94136.68539714813
feat_vol_regime_chg,94062.41897296906
feat_vol_pct_chg_5,88715.29979491234
feat_vol_skew,84580.46359062195
feat_rsi_rank_252,68849.70091438293
feat_bias_l,67967.86228322983
feat_mom_rank_100,64892.932857990265
feat_macd_diff,64060.914231300354
feat_pct_chg_10,64053.06064891815
feat_vol_kurt,63719.17814540863
feat_vol_ratio_5,63576.447710990906
feat_rsi_rank_100,62717.50060081482
feat_pct_chg_3,59955.797265052795
feat_pct_chg_5,57818.5513048172
feat_lower_shadow_ratio,54737.81905269623
feat_vol_slope,54703.16266155243
feat_bb_pos,53481.89174365997
feat_bias_s,52918.94533061981
feat_upper_shadow_ratio,52735.2019405365
feat_price_pctl_20,52625.89169502258
feat_body_ratio,51696.518589019775
feat_rsi_diff,49229.878977775574
feat_money_flow_zscore,46303.633790016174
feat_money_flow_trend,43855.754095077515
feat_vol_pct_chg_1,40321.25888180733
feat_money_flow_ma_ratio_zscore,31882.273077964783
feat_money_flow_ma_ratio,26963.195768356323
feat_pattern_shooting_star,4695.894924163818
feat_pattern_bullish_engulf,1170.4554996490479
feat_pattern_hammer,1089.0019969940186
feat_pattern_evening_star,717.2338008880615
feat_pattern_doji,707.5700969696045
feat_pattern_bearish_engulf,579.0334949493408
feat_pattern_morning_star,480.0908946990967
feat_pattern_three_white,241.81270027160645
