code,total_score,trend,reversion,volume,close,stop_loss,date
sz.002919,0.7,1.0,0.0,1.0,26.94,24.31,2026-02-24
sz.002916,0.7,1.0,0.0,1.0,258.5,231.79,2026-02-24
sh.603588,0.7,1.0,0.0,1.0,11.5,10.63,2026-02-24
sz.002138,0.7,1.0,0.0,1.0,41.77,38.66,2026-02-24
sh.603393,0.7,1.0,0.0,1.0,31.59,29.67,2026-02-24
sz.300016,0.7,1.0,0.0,1.0,10.38,9.48,2026-02-24
sz.000968,0.7,1.0,0.0,1.0,8.66,7.92,2026-02-24
sz.300099,0.7,1.0,0.0,1.0,8.82,8.2,2026-02-24
sz.300088,0.7,1.0,0.0,1.0,6.65,6.29,2026-02-24
sz.002706,0.7,1.0,0.0,1.0,11.7,10.7,2026-02-24
sz.000917,0.7,1.0,0.0,1.0,12.21,10.93,2026-02-24
sh.603989,0.7,1.0,0.0,1.0,19.0,17.99,2026-02-24
sz.002281,0.7,1.0,0.0,1.0,73.34,66.27,2026-02-24
sz.002416,0.7,1.0,0.0,1.0,13.61,12.82,2026-02-24
sz.002432,0.7,1.0,0.0,1.0,44.57,42.34,2026-02-24
sz.300285,0.7,1.0,0.0,1.0,33.63,29.88,2026-02-24
sh.601390,0.7,1.0,0.0,1.0,6.05,5.64,2026-02-24
sz.002350,0.7,1.0,0.0,1.0,10.13,9.37,2026-02-24
sh.600101,0.7,1.0,0.0,1.0,10.46,10.03,2026-02-24
sh.600938,0.7,1.0,0.0,1.0,37.22,34.65,2026-02-24
sz.002606,0.7,1.0,0.0,1.0,12.77,11.63,2026-02-24
sh.605020,0.7,1.0,0.0,1.0,29.45,27.65,2026-02-24
sz.002585,0.7,1.0,0.0,1.0,7.5,6.81,2026-02-24
sh.600765,0.7,1.0,0.0,1.0,21.45,19.58,2026-02-24
sz.301071,0.7,1.0,0.0,1.0,46.2,41.49,2026-02-24
sz.000601,0.7,1.0,0.0,1.0,5.33,5.09,2026-02-24
sh.600256,0.7,1.0,0.0,1.0,5.76,5.42,2026-02-24
sh.603727,0.7,1.0,0.0,1.0,17.86,16.56,2026-02-24
sh.600644,0.7,1.0,0.0,1.0,11.64,10.91,2026-02-24
