code,total_score,trend,reversion,volume,close,stop_loss,rsi,mom_20,date,rsi_rank,mom_rank
sz.301589,0.857,1.0,0.0,1.0,185.82,171.99,59.36,0.0028,2026-02-26,0.33706070287539935,0.3402555910543131
sh.600233,0.857,1.0,0.0,1.0,18.5,17.22,68.73,0.0423,2026-02-26,0.6980830670926518,0.5758785942492013
sz.002616,0.857,1.0,0.0,1.0,5.89,5.57,59.72,0.0173,2026-02-26,0.3498402555910543,0.4185303514376997
sz.002541,0.857,1.0,0.0,1.0,25.06,22.59,74.93,0.1391,2026-02-26,0.8738019169329073,0.8514376996805112
sz.002518,0.857,1.0,0.0,1.0,57.01,49.88,58.55,-0.0102,2026-02-26,0.30670926517571884,0.2763578274760383
sh.600526,0.857,1.0,0.0,1.0,5.98,5.64,69.4,0.0491,2026-02-26,0.737220447284345,0.6086261980830671
sz.002782,0.857,1.0,0.0,1.0,23.71,21.18,67.44,0.05,2026-02-26,0.6549520766773163,0.610223642172524
sz.002938,0.857,1.0,0.0,1.0,61.97,54.22,62.65,0.0337,2026-02-26,0.4696485623003195,0.5303514376996805
sh.600301,0.857,1.0,0.0,1.0,58.87,49.67,65.3,0.138,2026-02-26,0.5702875399361023,0.8498402555910544
sh.603070,0.857,1.0,0.0,1.0,15.93,14.81,75.96,0.0684,2026-02-26,0.8961661341853036,0.6829073482428115
sh.603158,0.857,1.0,0.0,1.0,11.09,10.34,61.21,0.0316,2026-02-26,0.41054313099041534,0.5199680511182109
sz.300595,0.857,0.5,0.5,1.0,15.68,14.76,46.11,-0.0243,2026-02-26,0.04313099041533546,0.213258785942492
sz.300708,0.857,1.0,0.0,1.0,10.85,9.94,68.75,0.0796,2026-02-26,0.702076677316294,0.7156549520766773
sz.300259,0.857,1.0,0.0,1.0,4.92,4.61,62.58,0.0207,2026-02-26,0.4680511182108626,0.43610223642172524
sh.605111,0.857,1.0,0.0,1.0,48.91,43.67,69.99,0.1522,2026-02-26,0.7619808306709265,0.8594249201277955
sz.301206,0.857,1.0,0.0,1.0,29.76,28.07,75.52,0.0775,2026-02-26,0.8849840255591054,0.7092651757188498
sz.300932,0.857,1.0,0.0,1.0,14.79,13.21,67.31,0.0671,2026-02-26,0.646964856230032,0.6757188498402555
sz.002335,0.857,1.0,0.0,1.0,61.6,54.09,53.32,-0.0093,2026-02-26,0.16773162939297126,0.28115015974440893
